页码,评论id,评论发布时间,评论点赞数,评论发布ip,评论,评论用户名
6,7320569330822464296,1704456781,0,重庆,这DEMO我还以为是网友整活丁真 [打脸],咸鱼人蒋某
6,7320569654953820967,1704456512,0,湖北,@Is D  [调皮],__Zzp.
6,7320553691798717210,1704455607,1,浙江,那时候和老婆还没结婚，有段时间两人关系差到极点，吵架无数次，每一次矛盾后我都单曲循环这首歌，告诉自己生活没有如果，不要多年后让自己后悔,早餐吃煎包
6,7320566914613560090,1704455530,2,河南,@laroi 流行歌手也是国际语freestyle后期填词啊,咲
6,7320561125606327092,1704454772,4,河南,词神就是词神,🌈小飞快跑
6,7320550480305799976,1704454539,0,江苏,@没啥好看的 神曲,7355608
6,7320555781983748905,1704453743,1,福建,@肥了个陈 前奏,键盘虾
6,7320556609552253731,1704452884,2,天津,@🌈壮壮  [流泪],NJ热河
6,7320542079238538011,1704452519,0,辽宁,@樱桃小丸犊子_  [流泪],一期一会.
6,7320563921017193242,1704451612,0,湖北,@喵丸子m 原来是这样写歌的,胡萝西
6,7320563487901270803,1704451512,0,湖南,这首歌和 邓紫棋的  多远都要在一起 是真的好听,我的快乐时代
6,7320545128958739219,1704451429,26,四川,这首歌跟mv很配，杨颖演技巅峰,人生灬如梦
6,7320543353266062107,1704451010,0,湖北,这首歌 歌词真的很击铁,大大🌈
6,7320545048759698217,1704450985,0,广东,@977 我也贼喜欢这个歌,Z_x
6,7320532049324376832,1704450529,0,广东,前女友家里不太意，知道我们没结果，听着这首歌边听边哭，记着贼清,Cityofstars
6,7320543566391083785,1704450490,0,河南,鸡鸡的歌很不错,洛阳饭特稀.℡
6,7320544157657826102,1704449350,3,浙江,这假发有点明显,蒋点道理
6,7320526124727108367,1704448896,0,广东,@Shirley🍃L 这首歌真的太棒了,牛油条
7,7320522072115249947,1704447552,1,浙江,一点都不好笑 请不来我的演唱会,seraph
7,7320460899398157108,1704427627,1,浙江,当JJ第一次看到《可惜没如果》的词……@公孙泥,安静de小杰
7,7320428075346526986,1704426761,0,山西,第一次跑男听JJ清唱几句，就爱上了,浓睡不消残酒
7,7320454878814733110,1704426225,8,浙江,林夕好厉害[赞],智多星和渺沙的光阴故事
7,7320453829438407451,1704425984,20,广东,林夕的词一直这么绝[流泪],七仔（见过Eason31号跨年版）
7,7320438722045002536,1704425926,0,浙江,原来歌手一首歌要话那么多实践经历，怪不得歌手音感很好,用户1516464
7,7320424714119267083,1704425272,0,陕西,@Trouvaille  [流泪],𝕰𝖑𝖎𝖙𝖊
7,7320409305219760947,1704424875,1,江苏,只能说梦确实是天才 可惜了,🍔🥙🌭🥘🍤🍣🍟
7,7320444814242415414,1704423881,1,云南,当年我还在看跑男,壹壹伍
7,7320417888124584741,1704423616,0,四川,@次一个吧 来品细糠,echo-
7,7320412211465274112,1704423045,1,广西,我每次听到都觉得太好哭了这首。每次K都会带入到自己的情绪。。。大神神作,港北汽车钥匙、恒发智能锁代理
7,7320416323207725861,1704422893,1,内蒙古,@纨幻 死猪品不了细糠,彩Lin
7,7320419253911110411,1704422528,0,四川,曾经好爱好爱一个人,浩然
7,7320406994908693282,1704422463,0,广东,林俊杰也是个人才,Hua's
7,7320374429212492544,1704420979,19,贵州,林夕作词，红豆、春秋,奋青酒窖
7,7320363348691436298,1704420450,0,江苏,现在的平台对于这个作词者不要改名可以直接说了吗 [比心],心如矿泉水
7,7320429718243164939,1704420372,0,贵州,只听伴奏给我哭得[捂脸],灰色的⑦月
7,7320381165205619492,1704419686,0,广东,@想有钱超级想有钱 哼哼的好牛逼 [微笑],四面八方钱钱来
7,7320421738444686134,1704418513,0,河北,@夏夜晚饭 [左上][流泪],vader👀
7,7320410329153028864,1704415854,1,江苏,JJ：我还是喜欢煎熬那首歌[看],陈同学
8,7320290047005213503,1704415733,0,广西,2015年第一次听和看mv 里面剧情就是一个四角恋 [捂脸],lAndocracy
8,7320284831165662006,1704413579,1,山东,心一跳~~~,氵钢蛋
8,7320393937331192586,1704412039,2,河南,唱小样的这个人也很厉害,Eason 🤮
8,7320379999893193484,1704408792,7,江苏,林夕确实厉害,朱雷雷雷雷
8,7320362059279041290,1704404628,2,浙江,林俊杰说的我现在怎么样怎么样。。可能不一定是林夕现在创造出来的可惜没有如果这种爱情故事。。,🌈Jay Chou
8,7320265096272790322,1704400704,0,江苏,七八年前失恋  就一直听这首歌,我爱麦当劳
8,7320267522379957043,1704397894,4,江西,光头是林夕吗,佛波乐.
8,7320262665167012642,1704395106,1,浙江,会一直经典下去吧,马飞
8,7320299683174499081,1704390103,1,云南,哼都哼的那么好听[流泪][流泪],Lnialins.vgh
8,7320264416761758479,1704389745,1,云南,如果那天我~~~,臻ˇ噫
8,7320261243028931391,1704389060,17,四川,当年这首歌听哭我太多回了，边唱边哭，真的是一字一句都写进在心里了，百分之百吻合了我当时的感情状况,扣爹on the top
8,7320253075436323584,1704388241,0,宁夏,很适合我现在的情景，刚好想哭,Ricardo Z
8,7320246785725154048,1704387930,0,上海,小虫能不能跟林夕拼一下？,小8🏁
8,7320259188058850048,1704387845,4,河北,来是COME去是GO  [看],爱吃萝卜菠菜
8,7320254875375633206,1704387158,3,辽宁,林夕曾写给狂热时期谢霆锋一句话 后来背写进了歌词，“年轻得碰着谁亦能像威化般干脆”,方·公子呀
8,7320285509048075044,1704386830,2,福建,选择大部分歌   听了能让人抑郁,艮古
8,7320251181812663080,1704386344,0,安徽,@사랑해요 只对你说 我哭死,🌈生活本该快乐🌈
8,7320253926330024716,1704385411,12,江苏,梁伟文和黄伟文 [赞] 伟大的时代,老西瓜皮
8,7320255735370433291,1704384670,0,湖南,全都怪我，不该沉默时沉默，该勇敢时软弱，如果不是我，误会自己洒脱。,空山
8,7320257062519390976,1704384413,0,山东,太牛了,Deideiup
9,7320248364053594914,1704383762,16,广东,林夕出品，必是精品,一方青石
9,7320245887036326667,1704382788,3,湖北,林夕出品，必属精品,从清晨到日落
9,7320245037404095247,1704381330,19,广西,时间好快，这首歌都过去了那么多年了,不近又不远处（9.22）
9,7320096972797805350,1704342893,4,浙江,老林也这么撸刘海[看],王贱贱
9,7319544029921067814,1704214157,2,江苏,大晚上让我刷到，我不信就此别过，我们都好好的呢，[泣不成声],等风来🌈
9,7319143146514875162,1704120812,14,天津,林俊杰作曲的确厉害[赞]林夕填的词也超合适，近些年少有的精品,晚风余晖
9,7317677217574896396,1703779503,1,陕西,@无产者 [流泪][流泪][流泪][流泪],风浒涟漪
9,7320267593688023871,1704395094,1,浙江,这首歌一直在收藏榜单。,马飞
9,7317529768307802916,1703745171,5,广西,我是10号才变粉丝的，之前都是路人，当年这首歌刚出来的时候就把我听哭了[捂脸],WsNdxx（老公说你都对队员）
9,7315392940355945268,1703247650,7,广西,@请向阳而生 词很好，但是曲是真的绝[泣不成声],我是JJ林的铁刘海
9,7314725587661144844,1703092275,0,广东,太好哭了,大媛子🤪
9,7313544352718013247,1702817243,2,上海,会不会有点人情世故,咸蛋超人
9,7313250946452570889,1702748948,8,广西,前奏一响，眼泪就出来了,若熙
9,7311757039406547723,1702401110,7,广西,彼此圆满[比心]2023,🧚‍♂️两只单眼皮🧚‍♀️
9,7311709444043391770,1702390020,0,湖北,@相宜胖嘟嘟 [快哭了][泣不成声][泣不成声][泣不成声],奥特man
